FID,Shape,SubID,slope,aspect,land,elev,HRU_ID,area_m,ZonalElev,ZonalSlp,ZonalAspt,ZonalSx,ZonalSw,Longitude,Latitude
36,"(343769.5113093523, 4469197.683460914)",17,1,1,40,2250,Sub17_E2250_S1_A1_L40,13208149.0374,2185.1298828125,12.634699821472168,190.98899841308594,5.325230121612549,373.2200012207031,-106.879908965,40.3270196289
37,"(343626.9346317604, 4470245.413066626)",17,1,1,50,2250,Sub17_E2250_S1_A1_L50,21852176.4799,2131.7900390625,5.471010208129883,157.74899291992188,3.197849988937378,381.5830078125,-106.841808047,40.3681288058
38,"(344951.45458602975, 4472137.9618281275)",17,1,1,80,2250,Sub17_E2250_S1_A1_L80,31072918.594,2096.1298828125,1.4380600452423096,188.87100219726562,2.5923900604248047,382.1319885253906,-106.826675322,40.3854178588
39,"(343642.60372875223, 4469527.433707474)",17,1,1,40,2500,Sub17_E2500_S1_A1_L40,37275639.5069,2434.43994140625,16.023300170898438,189.39700317382812,3.3456499576568604,371.5169982910156,-106.886544315,40.3162753149
40,"(354526.50851302204, 4484024.555813459)",18,1,4,42,3250,Sub18_E3250_S1_A4_L42,72193660.3575,2912.4599609375,12.456999778747559,209.0260009765625,2.6314799785614014,376.19000244140625,-106.716639388,40.4941841512
41,"(345401.5756315737, 4482694.346243379)",19,1,1,20,2250,Sub19_E2250_S1_A1_L20,11501573.8361,2114.64990234375,8.55862045288086,170.9029998779297,6.0831098556518555,376.9460144042969,-106.823942206,40.480557072
42,"(346300.14355129085, 4484216.271959301)",19,1,4,40,2250,Sub19_E2250_S1_A4_L40,5849626.42187,2157.60009765625,10.558500289916992,260.7349853515625,0.0001475000026402995,377.656005859375,-106.813715009,40.4944280652
43,"(347377.2356760308, 4485324.97959835)",19,1,4,40,2500,Sub19_E2500_S1_A4_L40,10173523.7171,2379.590087890625,17.624000549316406,223.57899475097656,0.9261879920959473,367.4100036621094,-106.794198749,40.4906260771
44,"(350449.5986777948, 4486670.205368929)",19,1,4,40,2750,Sub19_E2750_S1_A4_L40,13069522.2273,2742.25,16.37070083618164,249.58200073242188,0.819021999835968,371.5920104980469,-106.754247574,40.51964516
45,"(346515.7000075211, 4488307.550073672)",20,1,1,40,2500,Sub20_E2500_S1_A1_L40,17579357.5621,2346.89990234375,14.530400276184082,165.76499938964844,6.586180210113525,373.55999755859375,-106.81216438,40.5313078169
46,"(348120.01263153675, 4490050.860428339)",20,1,4,40,2500,Sub20_E2500_S1_A4_L40,12043748.2636,2508.699951171875,16.127599716186523,250.8249969482422,-3.368190050125122,374.8070068359375,-106.793650132,40.5473009926
47,"(352806.76897892496, 4491332.940048661)",20,1,4,50,3250,Sub20_E3250_S1_A4_L50,38839976.0608,3020.18994140625,15.833800315856934,219.66700744628906,0.3317520022392273,375.75299072265625,-106.720584331,40.5529996748
